YEAR,cluster_name,weighted_count,count,percent,rel_percent
1900,Adult child + parents,869021,8665,5.371272680253454,1
1900,Extended,440982,4397,2.7256355934822385,1
1900,Grandfamily,267456,2667,1.6531005648538617,1
1900,Nuclear family,9390155,93630,58.03896915591841,1
1900,Roommates,906461,9039,5.602683024938668,1
1900,Single person,4304977,42926,26.60833898055337,1
1910,Adult child + parents,1130994,11277,5.555333974107586,1.034267724766758
1910,Extended,596503,5948,2.9299654830680777,1.07496596026059
1910,Grandfamily,303562,3027,1.4910674078271386,0.9019822747195981
1910,Nuclear family,11486223,114528,56.41922491726389,0.9720921259937755
1910,Roommates,1119454,11163,5.49865060172789,0.9814316778679593
1910,Single person,5721968,57055,28.105757616005423,1.056276291298996
1920,Adult child + parents,1384343.97,13695,5.68826076468726,1.0590154518870654
1920,Extended,707694.61,7008,2.9079127519467955,1.0668751020497504
1920,Grandfamily,343652.91,3411,1.4120676703085593,0.8541934473498832
1920,Nuclear family,13668464.23,135341,56.16363452866433,0.9676883539710002
1920,Roommates,965215.37,9562,3.9660639534870055,0.7078865493252533
1920,Single person,7267487.35,71856,29.862060330906044,1.1222820166539011
1930,Adult child + parents,1703509.4500000002,16875,5.728941369527103,1.0665891885527532
1930,Extended,811825.5,8042,2.7301877848620237,1.0016701393945218
1930,Grandfamily,449021.75,4448,1.5100704486214949,0.9134776677999557
1930,Nuclear family,15914189.599999981,157647,53.51978479599151,0.922135344137723
1930,Roommates,1052559.65,10427,3.539782255261317,0.6318012708384599
1930,Single person,9804046.49999999,97120,32.97123334573655,1.2391315884029246
1940,Adult child + parents,1895371,19321,5.4852949794775805,1.021228171796846
1940,Extended,805383,8407,2.3308171996176963,0.8551463024592634
1940,Grandfamily,542692,5991,1.5705767910359751,0.950079398935308
1940,Nuclear family,17266419,176013,49.96984835911086,0.8609706389662037
1940,Roommates,867401,8856,2.5103002792032973,0.4480532394978346
1940,Single person,13176409,131766,38.133162391554585,1.4331282542448103
1950,Adult child + parents,2403282,31236,5.482541397911842,1.020715522052613
1950,Extended,784397,12691,1.78942339055419,0.6565160048662428
1950,Grandfamily,678876,13834,1.548701223597064,0.9368463459051405
1950,Nuclear family,20592390,267618,46.97685525749613,0.8094019576966549
1950,Roommates,815521,11516,1.8604257192316436,0.3320597847407242
1950,Single person,18560716,106823,42.342053011209124,1.5913076363825152
1960,Adult child + parents,2292051,23008,4.341348796373622,0.8082532864760028
1960,Extended,685999,6886,1.2993432227134163,0.4767120101529755
1960,Grandfamily,612996,6154,1.1610690367630758,0.7023583812432592
1960,Nuclear family,25182085,252789,47.69711250095581,0.8218118480502336
1960,Roommates,431837,4335,0.8179377510271787,0.14599036700566023
1960,Single person,23590859,236812,44.6831886921669,1.679292673053492
1970,Adult child + parents,2075900,20759,3.2718956473495737,0.6091471876633869
1970,Extended,542600,5426,0.8552100670802442,0.3137653724236989
1970,Grandfamily,542300,5423,0.8547372270136683,0.5170509557530937
1970,Nuclear family,28050500,280505,44.211334291622535,0.7617525764947907
1970,Roommates,502900,5029,0.7926375649367025,0.14147464016945335
1970,Single person,31732200,317322,50.01418520199727,1.8796432666672653
1980,Adult child + parents,1825800,18258,2.2691597844932048,0.4224622207015061
1980,Extended,651500,6515,0.809704019935,0.2970697997455089
1980,Grandfamily,558000,5580,0.6934993754777129,0.41951432975223746
1980,Nuclear family,30001100,300011,37.286279773556295,0.6424352519664643
1980,Roommates,895200,8952,1.112581793777148,0.1985801782511741
1980,Single person,46529900,465299,57.828775252760636,2.1733327771802906
1990,Adult child + parents,1701074,17059,1.8548737910887105,0.3453322706754081
1990,Extended,832743,8107,0.9080340804765613,0.33314581107170976
