YEAR,cluster_name,weighted_count,count,percent,rel_percent
1960,Extended,685999,6886,1.2993432227134163,1.1889310295211186
1960,Grandfamily,612996,6154,1.1610690367630758,0.9990690784148629
1960,Nuclear family,25182085,252789,47.69711250095581,1.9960873599562592
1960,Roommates,431837,4335,0.8179377510271787,0.47131040477085984
1960,Single person,23590859,236812,44.6831886921669,0.6486922333058321
1970,Adult child + parents,2075900,20759,3.2718956473495737,1.0122592148608784
1970,Extended,542600,5426,0.8552100670802442,0.7825382606661754
1970,Grandfamily,542300,5423,0.8547372270136683,0.7354786895877525
1970,Nuclear family,28050500,280505,44.211334291622535,1.8502102311652515
1970,Roommates,502900,5029,0.7926375649367025,0.45673198369651063
1970,Single person,31732200,317322,50.01418520199727,0.7260854573107628
1980,Adult child + parents,1825800,18258,2.2691597844932048,0.7020327508628393
1980,Extended,651500,6515,0.809704019935,0.7408991074878124
1980,Grandfamily,558000,5580,0.6934993754777129,0.596737799391668
1980,Nuclear family,30001100,300011,37.286279773556295,1.5604020422472535
1980,Roommates,895200,8952,1.112581793777148,0.6410895876945201
1980,Single person,46529900,465299,57.828775252760636,0.8395344751801584
1990,Adult child + parents,1701074,17059,1.8548737910887105,0.5738609325619707
1990,Extended,832743,8107,0.9080340804765613,0.8308735330813937
1990,Grandfamily,906612,9420,0.9885818238868608,0.850648411468981
1990,Nuclear family,30240333,313274,32.974462672108935,1.37995582310831
1990,Roommates,1409649,13600,1.5371000819096696,0.885704640565118
1990,Single person,56617931,557322,61.736947550529266,0.8962717199960807
2000,Adult child + parents,2371684,23109,2.2485532040601353,0.6956574861299791
2000,Extended,1073914,10269,1.01815957167356,0.9316410680456677
2000,Grandfamily,1175004,12254,1.1140012788311913,0.9585685224176425
2000,Nuclear family,31302619,315582,29.67747990369866,1.2419796378646968
2000,Roommates,1800648,17469,1.7071636987830054,0.9836983473046728
2000,Single person,67752132,676072,64.23464234295344,0.9325322300544868
2006,Adult child + parents,2644961,26956,2.369704915961275,0.7331394079227607
2006,Extended,1234422,10436,1.1059580393702397,1.0119788269720584
2006,Grandfamily,1178245,12410,1.05562727341038,0.9083392406500893
2006,Nuclear family,30552396,316239,27.372865987663182,1.1455333234827616
2006,Roommates,1802736,14918,1.615128677277421,0.9306661169369972
2006,Single person,74202867,782369,66.4807151063175,0.9651397945475164
2011,Adult child + parents,2792371,28455,2.428347207757392,0.7512821626586172
2011,Extended,1210163,11095,1.0524016837237276,0.9629734433727698
2011,Grandfamily,1433549,16058,1.2466662600827045,1.072723216376569
2011,Nuclear family,29990298,299984,26.08065203660692,1.091455166571044
2011,Roommates,1843674,15559,1.6033258510115251,0.9238651167168292
2011,Single person,77720544,833666,67.58860696081773,0.9812237147508898
2016,Adult child + parents,3253991,31901,2.737744441332759,0.8470034919720478
2016,Extended,1155642,10649,0.9722990818569174,0.8896775910990766
2016,Grandfamily,1547337,16522,1.3018515633935397,1.1202087046422002
2016,Nuclear family,29959773,298764,25.20664685131006,1.05487872385929
2016,Roommates,2112645,19214,1.77747329518104,1.0242119980024411
2016,Single person,80827250,855063,68.00398476692568,0.987253999620803
2021,Adult child + parents,4109641,37694,3.222216127441673,0.9968893628738894
2021,Extended,1316600,11315,1.0322969216507492,0.9445770912374299
2021,Grandfamily,1485578,15353,1.1647862648276446,1.0022676544677394
2021,Nuclear family,31266810,298109,24.515138776271353,1.0259396444157538
2021,Roommates,2132657,18351,1.6721367583449203,0.9635151958912223
2021,Single person,87229538,900143,68.39342515146366,0.9929077356271079
2023,Adult child + parents,4244808,39684,3.232270548210571,1
2023,Extended,1435217,12188,1.0928667773409613,1
2023,Grandfamily,1526205,15954,1.1621509081286394,1
2023,Nuclear family,31380719,308511,23.895303110381406,1
2023,Roommates,2279101,19183,1.7354544749013996,1
2023,Single person,90459838,947451,68.88195418103702,1
