YEAR,cluster_name,weighted_count,count,percent,rel_percent
1900,Adult child + parents,869021,8665,5.371272680253454,1.6617645707990205
1900,Extended,440982,4397,2.7256355934822385,2.494023654112667
1900,Grandfamily,267456,2667,1.6531005648538617,1.4224491443333955
1900,Nuclear family,9390155,93630,58.03896915591841,2.4288860822486558
1900,Roommates,906461,9039,5.602683024938668,3.228366463059762
1900,Single person,4304977,42926,26.60833898055337,0.38628896779874694
1910,Adult child + parents,1130994,11277,5.555333974107586,1.718709461738311
1910,Extended,596503,5948,2.9299654830680777,2.6809905322558487
1910,Grandfamily,303562,3027,1.4910674078271386,1.283023914878782
1910,Nuclear family,11486223,114528,56.41922491726389,2.361101035489788
1910,Roommates,1119454,11163,5.49865060172789,3.168421114613391
1910,Single person,5721968,57055,28.105757616005423,0.4080278782761777
1920,Adult child + parents,1384343.97,13695,5.68826076468726,1.7598343578746398
1920,Extended,707694.61,7008,2.9079127519467955,2.660811740495943
1920,Grandfamily,343652.91,3411,1.4120676703085593,1.2150467382780348
1920,Nuclear family,13668464.23,135341,56.16363452866433,2.350404774914273
1920,Roommates,965215.37,9562,3.9660639534870055,2.285317195492748
1920,Single person,7267487.35,71856,29.862060330906044,0.4335251617923316
1930,Adult child + parents,1703509.4500000002,16875,5.728941369527103,1.7724201251342413
1930,Extended,811825.5,8042,2.7301877848620237,2.4981890212682694
1930,Grandfamily,449021.75,4448,1.5100704486214949,1.2993755269297127
1930,Nuclear family,15914189.599999981,157647,53.51978479599151,2.23976170332569
1930,Roommates,1052559.65,10427,3.539782255261317,2.0396860340934215
1930,Single person,9804046.49999999,97120,32.97123334573655,0.4786628622509874
1940,Adult child + parents,1895371,19321,5.4852949794775805,1.6970407945938544
1940,Extended,805383,8407,2.3308171996176963,2.132755106060388
1940,Grandfamily,542692,5991,1.5705767910359751,1.3514396280643157
1940,Nuclear family,17266419,176013,49.96984835911086,2.0911996022097443
1940,Roommates,867401,8856,2.5103002792032973,1.4464800520600927
1940,Single person,13176409,131766,38.133162391554585,0.5536016340554479
1950,Adult child + parents,2403282,31236,5.482541397911842,1.6961888914116583
1950,Extended,784397,12691,1.78942339055419,1.6373664454399564
1950,Grandfamily,678876,13834,1.548701223597064,1.3326162831046353
1950,Nuclear family,20592390,267618,46.97685525749613,1.9659451499942204
1950,Roommates,815521,11516,1.8604257192316436,1.0720106727877976
1950,Single person,18560716,106823,42.342053011209124,0.6147045843084654
1960,Adult child + parents,2292051,23008,4.341348796373622,1.3431266756976925
