k,wss
1,71163714.02753153
2,60148836.09564135
3,51525424.27872445
4,45027555.18317756
5,37002612.74882896
6,27727593.282511882
7,29378969.763287146
8,29429816.42089032
9,20347713.22842572
10,21987194.729161095
11,18743621.521271706
12,22307926.518655173
13,18559851.9070292
14,20245199.048730887
15,21888552.752627783
