cluster,n_spouse,n_child,n_parent,n_grandchild,n_other_rel,n_non_rel
1,-0.38,-0.55,-0.18,-0.1,-0.11,-0.05
2,0.73,0.97,-0.18,-0.08,-0.1,-0.19
3,-0.16,0.36,-0.06,7.43,0.83,-0.02
4,-0.63,-0.19,-0.13,-0.08,0.01,5.68
5,0.05,0.18,5.16,-0.1,0.24,-0.07
6,-0.34,0.02,0.65,0.05,6.86,0.11
