cluster,n_spouse,n_child,n_parent,n_grandchild,n_other_rel,n_non_rel
1,0.371709589,0.201994537,0,0.01880563,0.038100746,0.102982665
2,0.938100436,2.246636842,0,0.024351455,0.040615202,0.035199655
3,0.490098252,1.397467051,0.025043203,2.579800729,0.376089871,0.108587911
4,0.24865729,0.635225202,0.00992732,0.02421216,0.078062261,2.633664579
5,0.590134798,1.148509715,1.140201201,0.017763901,0.173190884,0.088868505
6,0.397113624,0.922298858,0.172451632,0.065453309,2.679351042,0.169023816
